position,player,report
P,Juaron Watts-Brown,"Juaron Watts-Brown High velocity fastball at 93-96 mph, regularly hitting upper range, with slight chance to further improve. Excellent spin rate (2450 rpm), making heater deceptive with late life. Secondary pitches include changeup and curveball; change shows potential with good separation from fastball velocity, needs to improve consistency. CV has high spin (2700 rpm), creating depth and hard downward bite. Command struggles occasionally, particularly with secondary pitches; improvement needed. Average groundball rate, potential swing-and-miss stuff with continued development. MLB comparison: Sonny Gray."
P,Julian Aguiar,"Julian Aguiar Fastball can hit 97mph with high spin rate; secondary pitches include slider (88-90 mph) with good spin, changeup (81-84 mph) struggles with consistency. Solid command but could improve fastball accuracy. Reminiscent of Luis Castillo in style and potential progression."
OF,Justice Bigbie,"Justice Bigbie Hit: Above-average, consistent contact. Power: Potential average, shows gap power. Speed: Noteworthy, adept baserunner. On-base: Skilled plate discipline, above-average OBP. Defense: Reliable, displays good range in outfield. Comparable to AJ Pollock."
OF,Kala'i Rosario,"(""Kala'i Rosario"", 'Hit: Above average, strong barrel control, displays good pitch recognition. Power: Plus raw power, pull-heavy approach adds strength to swing. Speed: Below average, lacks quick baserunning instincts. On-base: Strong plate discipline, walks often, swings at good pitches. Defense: Average outfielder, solid arm, mediocre speed hampers range. Comparable to Nelson Cruz due to power-focused hitting and deficient speed."
OF,Kendall George,"Kendall George Strong hit tool, grades 60. Shows medium power potential, grades 50. Speed above average, grades 55. OBP skills impressive, grades 60. Solid defender, grades 55, with room for improvement. Comparable to Michael Brantley of the Houston Astros."
SS,Kevin McGonigle,"Kevin McGonigle McGonigle: Excellent hitter, consistent contact at 70, power at 45 with potential for growth. Speed 55, good base-stealing instincts. Strong defense, well above average at SS with 60 glove work. Lethal on-base skills at 55. Comparable to current MLB player Dansby Swanson."
C,Kyle Teel,"Kyle Teel Hits: Advanced; demonstrates solid line drive approach, 60-grade raw power. Power: Above-average power potential; showed improved pop to the pull-side. Speed: Average runner, 50-grade speed; agility helps on basepaths and behind the plate. On-Base: Strong eye and plate discipline; keeps strikeouts down, 60-grade on base skills. Defense: Reliable backstop with soft hands; proficient in managing the game; arm strength is decent. Comp: Will Smith, Los Angeles Dodgers."
P,Logan Martin,"Logan Martin Lefty starter, pinpoint command. Fastball sits 91-93mph, tops out at 95mph with high IVB; generates lot of swings and misses. Changeup, cutter show potential due to above-average spin rates. Curveball is an impressive secondary pitch, high spin rate. Needs improvement on slider but promising. Comparable: Dallas Keuchel."
1B,Luis Suisbel,"Luis Suisbel Above average hit tool (55), solid power (50), below average speed (40), great on-base abilities (60), average defense (50). Comparable to Anthony Rizzo. High contact rates, patience at the plate, shows pull-side power. Defense adequate, lacks mobility but catch skills solid. Prime age, recommend for acquire."
2B/3B,Luke Keaschall,"Luke Keaschall Hit: Above-average contact hitter. Power: Modest, gap-to-gap strength. Speed: Average, smart baserunner. On-Base: Disciplined, works counts. Defense: Solid at 2B, acceptable at 3B. MLB comparison: David Fletcher, Los Angeles Angels."
OF,Mac Horvath,"Mac Horvath', ""Horvath: average hit, plus power, average speed, plus on-base capabilities, average defense. Exhibits promising contact abilities and disciplined plate vision. Comparable to Milwaukee's Christian Yelich in comparable skill set and offensive production. May need reinforcement in speed and defense for better field positioning."
P,Manuel Medina,"Manuel Medina Fastball sits 94-96 mph, peaking at 98, good arm-side run. Spin rate above average, enhancing perceived velocity. Slider is secondary, displaying late, sharp break, used as strikeout pitch. Changeup an adequate third option, lacks consistency. Command needs work, struggles with location precision. Projects as mid-rotation starter if command develops, comparable to Charlie Morton."
2B/3B,Matt Shaw,"Matt Shaw Superb hit tool, solid contact skills, moderate power, average speed, notably strong on-base instincts. Defense betters at 2B than 3B, limited range yet reliable. Compared to DJ LeMahieu: disciplined at plate, versatile infielder, good contact hitting."
OF,Matthew Etzel,"Matthew Etzel Impact hit tool, plus power potential. On-base skills above average due to disciplined approach. Speed is average, not a base stealing threat. Defends well, solid arm, good reads in the outfield. Comparable MLB player: Michael Conforto."
OF,Max Clark,"Max Clark Strong contact ability, moderate power. Current hit: 50, power: 45. Excellent speed; rate: 60. Displays disciplined plate approach, on-base: 55. Solid outfield defense; arm length: 50, glove: 55. MLB comparable: Jackie Bradley Jr. for speed and defensive steady hand; needs improvements in the hitting department to reach full potential."
P,Michael Arias,"Michael Arias Fastball velocity steady at 94-95 mph, can dial up to 97 mph, above-average spin rate around 2450 rpm. Changeup and curveball lack movement; needs improvement. Solid command, above-average control. Comparable to Zach Davies in command and velocity, could benefit with increased spin on secondaries."
P,Michael Kennedy,"Michael Kennedy Heavy fastball, sits 94-96, can reach 98 with good vertical break. Secondaries hover around average—slider with 2300 spin rate, changeup useful against lefties. Command moderate but improving. Comparable: Jose Berrios."
SS,Myles Naylor,"Myles Naylor Solid hit tool; consistently above-average contact rates. Power average; surprising pop at times. Plus speed, puts pressure on defense. Advantaged on-base consistently; strong plate discipline. Defense slightly above average; quick hands, adequate at shortstop. Might profile better at second base long term. Comparable to major league player: Jean Segura."
1B,Nathan Martorella,"Nathan Martorella Solid hit tool, estimated .280 AVG; power potential high, could range 20-25 HR per season; average speed, won’t steal many bases; strong plate discipline with high OBP, walks frequently; defense at 1B above average, limited range but excellent hands. Comparable to Anthony Rizzo."
SS/3B,Nazzan Zanetello,"Nazzan Zanetello Hit: 55; employs level swing with quick hands, high contact rate; often fouls off tough pitches. Power: 45; gap-to-gap power, relying more on speed than overfence power. Speed: 60; runs well, can steal bases with good success rate. On-base: 50; disciplined batter who takes walks when needed. Defense: 55; strong arm, fields ball well with quick release. Can play shortstop or third base efficiently. Player comparable to Jean Segura in terms of offensive profile and defensive capability."
OF,Nehomar Ochoa Jr.,"Nehomar Ochoa Jr. Excellent contact (60); above-average raw power (55); above average speed (55); impressive on-base skills (60); average defense (50). Comparable to AJ Pollock."
C,Nick Schwartz,"Nick Schwartz Hit: Above average; shows knack for hard contact. Power: Average; demonstrates gap-to-gap power, 15-20 HR potential. Speed: Below average; not a major part of his game. On-base: Exceptional; demonstrates excellent plate discipline, draws walks consistently. Defense: Solid; blocks well, good arm strength, frames pitches effectively. Comparable to current MLB player Yan Gomes."
P,Noah Cameron,"Noah Cameron Left-handed pitcher. Fastball 90-94 MPH; demonstrates high IVB and average spin rate. Curveball and slider are secondary pitches; decent spin rates. Demonstrates good command, rarely walks hitters. Still needs to refine changeup. Comparable to Dallas Keuchel with potential for improvement."
P,Noble Meyer,"Noble Meyer Hit: 55, uses all fields. Power: 50, gap mostly but projectable. Speed: 50, average baserunner. On-base: 60, mature approach, excellent pitch recognition. Defense: 55, soft hands, above average arm strength. Comparable to DJ LeMahieu. Pitch arsenal: Fastball (60) tops at 97 mph with good command, Spin rate: Above-average fastball spin rate (2300 RPM). Secondary pitches: Curveball (50) with high spin rate (2700 rpm) but needs work in command. Changeup (45) rarely used but with potential. Slider (55) decent weapon with average spin rate (2200 rpm). Akin to Charlie Morton if command improved."
1B,Nolan Schanuel,"Nolan Schanuel', ""Solid hit tool, average .280+ in minors, good discipline, walks often. Power emerging, consistent mid-teens HR, gap-to-gap doubles power. Speed below average, not a base-stealing threat. On-base skills high, often .350+ OBP. Defense capable, handles 1B duties, won't wow with glove. Comparable to Eric Hosmer."
P,Patrick Monteverde,"Patrick Monteverde Monteverde features a four-pitch mix that includes a fastball (88-92mph), changeup, slider, and curve. Fastball lacks elite speed but compensates with above-average IVB. Spin rates on changeup (2,200 rpm) and slider (2,400 rpm) impressive. Command average across arsenal. Fastball command best; slider command needs development. Moderate projection left in frame; possible velocity increase. Comparable: Wade Miley."
P,Paul Skenes,"Paul Skenes Skenes showcases positive traits in command and fastball velocity (97mph top). Spin rate stands average, 2,200 RPM on slider, displays potential for improvement. IVB not high, needs attention. Consistent strike thrower, but grades out as average control pitcher due to occasional misfires. Struggles with lefties, needs to develop more efficient slider. Displaying progression, may project as mid-rotation starter, needs more effective off-speed pitch. Fairly similar to current MLB pitcher Jake Odorizzi."
P,Payton Martin,"Payton Martin Fastball mid-90s, IVB high, slider spin rate excellent, changeup needs improvement, command solid. Comparable to Walker Buehler."
2B,Quinn McDaniel,"Quinn McDaniel', ""Hit: Above average, consistently makes solid contact. Power: Below average, won't be a significant source of home runs. Speed: Average, not a base stealing threat but won't clog the bases. On-base: Excellent, shows advanced understanding of strike zone and knack for drawing walks. Defense: Good, reliable second baseman with decent range. Comparable Player: David Fletcher, Los Angeles Angels."
SS,Rafael Ramirez Jr.,"Rafael Ramirez Jr. Hit: Above average, consistent contact, shows bat-to-ball skills. Power: Average, gap power potential, expect 10-15 HRs seasonally. Speed: Good, base stealing potential, added value on the base paths. On-Base: Excellent plate discipline, draws walks, high OBP. Defense: Strong at shortstop, smooth fielder, arm strength for the position. Comparable MLB player: Dansby Swanson."
C,Ralphy Velazquez,"Ralphy Velazquez High contact hitter with above-average power potential. Speed not noteworthy. Superb plate discipline, consistently earns high on-base percentage. Defense average, shows promise. Comparable MLB player: Buster Posey."
P,Reid VanScoter,"Reid VanScoter Good command and feel for pitches. Low to mid 90s fastball with high IVB. Has posted high spin curveball and changeup. Average control. Can improve consistency. Relying mainly on fastball/curve combo, resembles Patrick Corbin."
P,Rhett Lowder,"Rhett Lowder Fastball sitting 92-94 mph, peaking at 96. High spin curveball with strong command. Plus slider variation, average changeup. Control needs improvement. Comparable: Dylan Cease."
P,Ricardo Yan,"Ricardo Yan Strong RHP with fastball in 93-96 mph range, consistent 2450 rpm spin rate, exhibits above average IVB; displays strong developing curveball, mostly 79-82 mph, spin rate 2600+ rpm; changeup needs work, 84-87 mph, lacks depth. Command is presently fringe-average, could improve with maturation and repetitions. Comparable to current MLB Player: Nick Pivetta."
P,Riley Frey,"Riley Frey RHP. Fastball dominant, 93-96 mph with above-average IVB; gets raw swings and misses. Curveball second best pitch, mid-70s spin rate and breaks late. Throws occasional changeup, can improve command. Control, average. Curveball command needs progress. Player Comparisons: Shane Bieber for pitching approach, velocity."
OF,Roni Cabrera,"Roni Cabrera Key hitter: above average hit (55/80); budding power potential (45/80), projected to improve with physical development; above average speed (60/80); excellent plate discipline, strong on-base skills (60/80); defense needs work, but decent arm strength (40/80). Comparable to current major leaguer Tommy Pham. Trains needed: focus on defensive improvement and power at plate."
2B/SS,Ryan Bliss,"Ryan Bliss High-contact right-handed hitter with showing of power potential. Consistent on-base methodology reflected by disciplined play. Speed presents a threat on the basepaths. Defensive ability at short can translate well to second base. Comparable MLB player: Ketel Marte."
SS,Ryan Ritter,"Ryan Ritter Strong hit tool (56/80), showcases solid contact skills. Power (45/80) is moderate, leveraging line drives over long shots. Excellent speed (60/80) with quick baserunning instincts. Notable on-base skills (54/80), draws walks and has a low strikeout rate, indicative of a patient approach. Defense (55/80) is reliable with smooth fielding ability and strong arm strength. Comparable MLB outcome: Dansby Swanson, Atlanta Braves. "
SS,Sammy Stafura,"Sammy Stafura', ""Above average hit (55) and good on-base (60) show disciplined plate approach. Just average power (50) with modest speed (45). Solid defender (50). Comparable to Marcus Semien's skill set."
P,Sandy Mejia,"Sandy Mejia Fastball sits at 94-96 mph, sharp slider, developing changeup. High spin rates on fastball (2500 RPM) and slider (2450 RPM), indicating great potential swing-and-miss. Command grabs attention, limits walks. Comparable to Charlie Morton, demonstrating a similar spinning heavy fastball/slider combination and command profile."
P,Sean Sullivan,"Sean Sullivan Fastball sits low 90s, tops at 94mph; heavy spin but flat at times. Command needs refinement; tendency to leave it up in zone. Curveball mid-70s with 12-6 shape; high spin mesmerizes hitters. Lackluster changeup, needs development for depth and command. Comparable to Jake Arrieta for fastball-curveball combination but needs changeup improvements to reach potential."
P,Shane Drohan,"Shane Drohan Drohan features a solid three-pitch mix, with an underwhelming fastball averaging 89-91mph. He compensates with high spin rates on his curveball and changeup, inducing swings and misses. While control is still work-in-progress, he has a knack for avoiding the barrel. Current command and fastball traits point to a late-inning relief profile. Drohan compares reasonably to Tom Windle."
OF,Shane Sasaki,"Shane Sasaki High contact hitter with above-average power. Runs well, average speed. Consistently gets on base, shows good plate discipline. Can use work on defensive positioning, but makes up for it with a strong arm. Comparable to Christian Yelich in terms of potential offensive outcomes."
SS,Tai Peete,"Tai Peete Hit: Solid contact skills, consistent line drive approach, struggles against breaking balls. Power: Gap-to-gap ability, home run power developing, comparable to Didi Gregorius. Speed: Adept base stealer, quick instincts, above average speed. On-Base: Shows disciplined approach, good plate control, will learn to draw more walks. Defense: Soft hands with strong arm, range on the lower side, consistent but not flashy in the field. Comparable MLB player: Didi Gregorius."
P,Tanner Burns,"Tanner Burns Fastball: Low-90s velocity with mid-80s spin rate. Shows above average command. Curveball: Mid-70s velocity with high spin rate, strong depth. Changeup: Low-80s, inconsistent command. Competitive, fiery mentality on mound. Compares to Zack Greinke."
P,Teddy Sharkey,"Teddy Sharkey Fastball sits 92-94 mph, peaking 96 mph, above-average spin. Curveball flashes plus with its tight spin; command inconsistent but promising. Changeup an undeveloped third pitch. Command needs refinement but shows potential for three average or better offerings. Control a concern but could improve with mechanical adjustments. Comparable: Dylan Cease."
P,Thomas White,"Thomas White Advanced fastball profiles with above average spin (2400 rpm) and velocity (95 mph); well-execured slider breaking tightly at 85 mph, paired with solid command. Ability to finish batters with changeup exhibiting deceptive arm-speed. Similar skillset to Lucas Giolito."
SS,Tommy Troy,"Tommy Troy Well-balanced offensive threat. Excels at contact handling (55/60), has decent power (50/60), above average speed (55/60). Plate discipline is solid (55/60), applying a patient approach at bat. Defensively sound (50/60), making few errors. Drives ball with authority, has potential for power surge. Needs to decrease strikeouts to boost power numbers. Comparable hitter: Corey Seager."
P,Travis Sykora,"Travis Sykora Fastball sits 92-94mph, touches 96 with high IVB and 2300rpm spin rate. Strong secondary pitches: curveball 78-80mph, high 2600rpm spin, and changeup 83-85mph with good arm action. Shows good command of three-pitch mix. Controls game tempo well, fields position effectively. Mimics traits of Walker Buehler with a potential to develop into well-constructed starter role."
1B,Tre' Morgan,"(""Tre' Morgan"", 'Hit: Above average, strong contact abilities with simplicity in his swing. Power: Average, tends to generate line drives with occasional laps into power. Speed: Above average, quick on the base paths with strong instincts. On-base: High, exceptional plate discipline with understanding of the strike zone. Defense: Excellent, agile at first base with great range and an accurate arm. Comparable MLB Player: Paul Goldschmidt."
3B,Trevor Werner,"Trevor Werner Above average hit ability, boasting a .301 in last season. Displays moderate power with .443 SLG. Speed is marginal, needs improvement. Excellent plate discipline, gets on base regularly with .388 OBP. Defense at third base is strong, showcased by .967 fielding percentage. MLB comparison: Justin Turner for his hitting prowess and reliable defense."
1B,Troy Johnston,"Troy Johnston Above-average hit tool; consistent contact ability; shows moderate power; 15-20 HR potential. Solid speed for a 1B; not a base-stealing threat but good base-running instincts. Excellent on-base skills; patient approach; high walk totals. Consistent defensive player; lacks Gold Glove-level; will make routine plays. Comparable to Eric Hosmer."
P,Troy Melton,"Troy Melton Mid-90s fastball with high spin rates; secondary pitches include curveball and slider; exceptional command; induces good ground ball rates. Needs to sustain high IVB on fastball and improve durability. Comparable to Shane Bieber."
P,Ty Floyd,"Ty Floyd Fastball reaches mid-90s with impressive IVB, making it a formidable primary pitch. Slider and curveball showcase above-average spin rates but lack refined command. Improvement needed in control to maximize effectiveness. Comparable to current major leaguer Nathan Eovaldi in velocity and secondary pitch characteristics."
OF,Victor Arias,"Victor Arias', ""Arias possesses a balanced hitting profile, high contact skill (.280 AVG, 15% K rate), and good power (20 HR, .480 SLG). Speed average but useful in field and on basepaths (10 SB). He has the discipline to keep his on-base percentage around .350. Solid defender, covers a lot of ground in outfield and has dependable arm accuracy. Comparable to Padres' Trent Grisham: similar contact and power, though Arias might lack a bit of speed."
1B/OF,Victor Bericoto,"Victor Bericoto Hit: Above average; contact approach, good barrel control. Power: Below average; gap power, lacks consistent home run swing. Speed: Average; not a base-stealing threat, average runner. On-base: Above average; disciplined eye, works counts. Defense: Average; adequate arm strength, footwork needs refinement. Comparable Player: Eric Hosmer, Kansas City Royals. Similar contact-first approach, on-base skills and defensive profile, but with slightly less raw power."
OF,Victor Scott II,"Victor Scott II Strong contact skills, with a .280 average. Power at mid-range, 15-20 HR capability. Speed leverages into solid baserunning, rating at 55 on 20-80 scouting scale. On-base skills above average, with a .360 OBP. Defense in the outfield mid-tier; arm and range are assets. Comparable to Starling Marte."
OF,Wade Meckler,"Wade Meckler Hit: Above average contact rate, clean swing; Power: Limited, mainly gap-to-gap hitter; Speed: Plus speed, swift base runner; On-Base: Has a good eye, takes multiple walks; Defense: Solid defender, takes good routes in outfield. Comparable MLB Player: Adam Eaton."
OF,Walker Jenkins,"Walker Jenkins Hits: above average contact skills, ability to use entire field, struggles against lefties. Power: below average raw power, gap-to-gap ability. Speed: high base running IQ and speed, solid stolen base threat. On-base: fantastic plate discipline, draws lots of walks, consistently gets on base. Defense: average outfielder, good arm strength and accuracy, better fit in left field due to speed. Comparable Player: Andrew Benintendi."
SS,Walker Martin,"Walker Martin', ""High hit tool, shows advanced contact skills for age. Power potential above average, could reach high teens in HRs. Speed average, won't steal many bases but quick first step. Shows strong plate discipline, on-base ability a plus. Defense is standout, with good range and arm strength. Comparable to Xander Bogaerts."
3B,Wilfredo Lara,"Wilfredo Lara', ""Hit: Above-average contact skills, consistently barrels ball. Power: Moderate power, projects to 15-20 HRs seasonally. Speed: Average, won't steal many bases but not a liability. On-base: Solid plate discipline, should maintain high OBP. Defense: Reliable, good arm from the hot corner. Comparable Player: Kyle Seager."
OF,Wyatt Langford,"Wyatt Langford Good contact hitter, average power, above-average speed; skillful at getting on base often; impressive defense. Similar to MLB player Hunter Renfroe. As a pitcher, has powerful fastball, high spin secondaries; underwhelming velocity but effective; average command with room for improvement."
OF,Yeremi Cabrera,"Yeremi Cabrera High contact hitter, average power with room for growth. Plus speed, utilizes effectively both defensively and on base paths. Advanced plate discipline, consistent on-base skills. Defensively adept in outfield, anticipates well. Comparable to current major leaguer Oscar Mercado in overall skill set."
3B,Yohandy Morales,"Yohandy Morales Hit: Above average, shows great contact skills. Power: Plus raw power, projects as 25-30 HR hitter annually. Speed: Below average, slow on bases. On-Base: Above average, shown good eye and plate discipline. Defense: Solid defense at third, shows potential for future gold glove considerations. Comparable: Eugenio Suarez."
OF,Yonathan Perlaza,"Yonathan Perlaza Good contact skills (55 hit), solid line-drive power (50 power), average speed (50 speed), disciplined at the plate (60 on-base), and dependable with the glove (55 defense). Lacks home run power but gap-to-gap oriented and can use whole field. Comparable to Boston’s Alex Verdugo in terms of contact ability, plate discipline, and overall defense."
P,Yordanny Monegro,"Yordanny Monegro Fastball sits 90-93 mph with potential for more; generates high spin rates on breaking balls. Slider flashes potential as plus offering. Command needs work; can struggle with consistency. Projections like mid-rotation starter if he harnesses control, similar to Luis Castillo of Cincinnati Reds."
OF,Zach Cole,"Zach Cole Strong hit ability, contact skills above average with a 60-grade. Power still developing, currently 45-grade, likely 50-grade in maturity. Above average speed, 60-grade on the basepaths, aggressive runner. Solid plate discipline, on-base tool rated at 55-grade. Defensively stable, 50-grade, decent arm strength & accuracy. Reasonable MLB projection: David Peralta due to similar offensive profile and defensive skills."
P,Zander Mueth,"Zander Mueth Fastball sits 92-94 mph with elite spin rate. Curveball shows high rotation, effective second pitch. Needs refinement on control, tendency to miss strike zone. Clean mechanics, potential to improve command with development. Reasonable comparision: Charlie Morton."
OF,Zyhir Hope,"Zyhir Hope Strong hit tool, consistent contact skills with .320 average. Power average, 15-20 projected homers annually. Speed and athleticism above average, steals bases well. Excellent plate discipline, high on-base abilities, .400 OBP. Solid defense, reliable in the outfield with good range and accurate arm. Comparable player: Trent Grisham, OF, San Diego Padres. Like Grisham, Hope should present a good mix of contact, speed, and on-base skills along with competent defense."
3B,Eric Bitonti,"Eric Bitonti Solid hit tool with good contact skills; hit .280+ consistently in minors. Shows above-average power potential, 15-20 HRs per season. Quick baserunner with good instincts, provides 10-15 stolen bases yearly. Plate discipline stands out; high walk rate indicates good eye. Defense needs improvement; slightly below-average arm strength and range, but solid glove. Comparable MLB player: Anthony Rendon."
3B,Jack Hurley,"Jack Hurley Strong contact hitter, displays high plate discipline. Hits: 60. Balanced swing, uses all fields effectively. Power: 55. Gap power currently, could develop into 20+ HR threat with maturity. Speed: 45. Not a speedster, but shows average base-running skills. On-Base: 60. Consistently gets on base, shows a strong eye at the plate. Defense: 50. Solid third baseman, reliable arm but lacks elite range. Comparable big league player: Matt Chapman."
SS,Mitch Jebb,"Mitch Jebb Stout contact hitter (60 grade), average power (50). Impressive speed (65), reads bases exceptionally. Maintains OBP (.370 range), disciplined at plate. Solid infielder (55), reliable. Comparable to Trea Turner of Nationals."
P,Brandon Sproat,"Brandon Sproat Fastball sits at 94-97 with potential to reach 99; maintained velocity deep into starts, backed with extreme IVB, revealing great strikeout potential. Secondary pitches include 85-88 mph slider displaying high spin rates, projecting average with consistent command. Curveball needs refinement, inconsistent command. Overall command needs improvement. Due to elite fastball traits and progressing secondary pitch, Sproat draws comparability to current MLB pitcher Noah Syndergaard."
OF,Jace Bohrofen,"Jace Bohrofen Hit: Superior stroke with good contact ability. Power: Above average power potential, flashes of excellent pop. Speed: Average wheels, not a notable asset. On-base: Advanced plate discipline, walks enough to boost OBP. Defense: Decent outfielder, possesses solid arm and good instincts. Comparable MLB player: Michael Conforto."
OF,Kemp Alderman,"Kemp Alderman Hit: Above average, strong contact ability. Power: Excellent, solid slugging stats. Speed: Below average, not a base stealing threat. On-base: Good, picks pitches well. Defense: Average, lacks top-tier range but has reliable glove work. Comparable MLB player: Kole Calhoun - offers similar power with decent hit and on-base skills, but limited speed."
3B,George Wolkow,"George Wolkow', ""High-contact hitter, excellent plate discipline. Strikeouts low, walk rate above average. Shows good power, potential for 20-25 HR annually. Speed average, won't be stealing bases. Strong defense at third base, shows soft hands, has good range. Excellent on-base skills, could slot into 2-hole. Average speed, solid baserunner. Pro comps to Justin Turner."
2B,Mike Boeve,"Mike Boeve High hit tool, uses entire field, consistent harder contact. Power average, occasional fence ability, gap-to-gap hitter. Good speed, aggressive baserunning. Solid on-base skills, sees pitches well. Above-average defender, good hands, quick double play turn. Erratic arm accuracy. Closest comparables: DJ LeMahieu."
OF,Travis Honeyman,"Travis Honeyman Strong hit tool, consistent contact, median power. Speed above average, utilizes in both base running and fielding. Superb on-base skills, plate discipline evident in low strikeout rate. Defense solid, reliable outfield option. Comparable to Christian Yelich in terms of contact and on-base skills."
P,Jackson Baumeister,"Jackson Baumeister Strong overall hitting ability; hit tool favoured above power. Above average contact skills, good pitch recognition. Bat control stands out; can to drive ball to all fields. Power projection just average; needs body development. Solid speed; not considered a threat on the bases. On-base percentage benefits from keen eye; numerous walks. Defense is reliable; shows promise with more experience. Comparable MLB player: Joe Mauer."
SS,Josh Rivera,"Josh Rivera Good contact hitter with moderate power; needs to develop approach to elevate on-base skills. Shows above-average speed, well-utilized on base paths. Solid defender with credible arm strength and range. No glaring weaknesses, but needs to work on plate discipline, particularly against off-speed pitches. Potential to grow into everyday role, similar trajectory to J.P. Crawford of the Seattle Mariners."
P,Alonzo Tredwell,"Alonzo Tredwell Fastball averages 95 mph, peaks at 97. High IVB, inducing swing and miss. Slider sits mid-80s with above-average spin rates. Change-up has deceptive arm actions. Commands all three pitches with control and consistency. Comparable to Lucas Giolito."
2B,Max Anderson,"Max Anderson Hit: Advanced contact skills, hits line drives frequently. Power: Average, 15-20 HR capacity annually. Speed: Above average, threat on base paths. On-base: Exceptional, works counts well and sees the ball out of the hand early. Defense: Solid at 2B, quick reactions, reads hops well. Comparable MLB player: DJ LeMahieu."
P,Kiefer Lord,"Kiefer Lord Fastball tops 94 mph, spin rate around 2400 RPM. Strong command, IVB above average. Solid slider with sharp bite, efficient changeup to combat lefties. Comparable to Zack Greinke."
OF,Cam Fisher,"Cam Fisher Solid hit tool, advanced plate discipline, maintains high contact rates. Fair power potential, likely to develop with strength gains. Plus speed, good baserunner. Average defender with above-average arm strength. Comparable MLB player: Trent Grisham."
OF,Jake Cunningham,"Jake Cunningham Strong hitter: .280 AVG, powerful contact skill, regular HRs. Comparable power to Justin Upton. Speed: 60/80; base stealing threat. OBP: .360, shows disciplined approach at plate. Defense: above average, strong arm, quick lateral movement. Reads outfield well. Comparable to Jason Heyward defensively."
3B,Antonio Anderson,"Antonio Anderson Hit: Above average; consistent contact with line drive approach. Power: Potential for growth due to swing mechanics and strength. Speed: Below average; not a basestealing threat. On-base: Strong plate discipline; walks outnumber strikeouts. Defense: Solid; reliable glove with good arm strength. Comparable Player: Justin Turner."
P,Cole Schoenwetter,"Cole Schoenwetter Fastball sits 93-95 mph, tops out at 97 mph, high spin rate. Secondary pitch is curveball with sharp break, above-average spin. Changeup used as third pitch, moderate effectiveness. High IVB. Command needs work. Struggles maintaining velocity deep into starts. Comparable to Walker Buehler."
P,Paul Wilson,"Paul Wilson Fastball tops at 94 mph, sits 90-92, lacks IVB. Changeup second pitch, strong arm-side fade, average spin rate. Curveball tertiary, mid 70s, inconsistent shape. Command above-average, repeats delivery well. Similar outcomes: Austin Gomber, St. Louis Cardinals."
P,Andrew Walters,"Andrew Walters Fastball tops at 94 mph, IVB and horizontal movement are key traits. Developing slider, high spin rate over 2400 rpms. Changeup is a work in progress but shows potential. Command can be inconsistent. Can harness it, he profiles as a reliable mid-rotation arm. Comparable to Lance McCullers Jr. in terms of potential and pitch arsenal."
P,Steven Echavarria,"Steven Echavarria Fastball sits 93-95 mph, touches 98. Good IVB, generates above average swing and miss. Slider is effective secondary, shows impressive spin rate. Has workable changeup; needs more consistency. Command can improve; often misses arm-side. Exhibits competitive edge on mound. Comparable to Luis Castillo."
P,Nolan McLean,"Nolan McLean Fastball velocity: 93-96 mph, top at 98 mph, with above-average life. Strong slider with late bite and good spin rates, hover 2400-2500 RPM. Changeup, early stage development, needs more precision. Recommend honing third pitch to round out arsenal. Command needs refinement, occasional wildness. Comparable to Walker Buehler in velocity and playstyle."
P,Teddy McGraw,"Teddy McGraw Right-handed pitcher. Fastball velocity consistently mid-90s, peaking 97-98 mph, good life. Curveball possesses high spin rate, effective secondary. Changes speeds well, decent command. Comparable: Walker Buehler."
OF,Charles McAdoo,"Charles McAdoo', ""Strong contact hitter with above-average pop. Speed grades slightly above average but doesn't always fully utilize it. Defensively average, solid reactions and route running boost overall grade. Solid on-base skills, disciplined approach at the plate, strikes out a bit but balances it with decent walk rates. Comparable player: Michael Brantley."
OF,Carson Roccaforte,"Carson Roccaforte', ""Carson Roccaforte: High contact rate (Hit: 60), Moderate pop (Power: 55), Quick foot speed (Speed: 55), Patient eye (On-base: 60), Solid fielder (Defense: 55). Similar to Andrew Benintendi. Has a balanced, line-drive approach at the plate with a good batter's eye, leading to a high average and walk rate. Moderate power potential but should hit plenty of doubles with occasional home runs. Speed plays on both offense and defense. Solid defender in corner outfield with a strong, accurate arm that limits extra bases, fitting well in left or right field. Good instincts on basepaths lending to efficient base stealing despite lack of elite speed. High makeup player, leader in the clubhouse. Room for growth, tools play up due to baseball IQ."
2B,AJ Ewing,"AJ Ewing Strong contact hitter (Hit: 55), effective plate discipline (On-base: 60). Power needs developing (Power: 40), Speed average (Speed: 50). Solid defense in the field (Defense: 50), intelligent positioning. Compares well with MLB player DJ LeMahieu."
